Category,Quantity,Item,Price,URL
Frame,3,"350mm T-Slot 2020 Extrusion","$16.00","https://www.aliexpress.com/item/1005001811193493.html?aff_fcid=7bf28ad7fc4549ee971624a4f517b92f-1752842911129-02855-_onZYASi&tt=CPS_NORMAL&aff_fsk=_onZYASi&aff_platform=shareComponent-detail&sk=_onZYASi&aff_trace_key=7bf28ad7fc4549ee971624a4f517b92f-1752842911129-02855-_onZYASi&terminal_id=c96db40312814f6fbd65fcebf08e754c&afSmartRedirect=y"
Frame,50,"M5 x 10mm","$3.34","https://www.aliexpress.com/item/1005008086451366.html?spm=a2g0o.productlist.main.2.6228b099AMAQ1x&algo_pvid=731dd728-4cf9-47e1-bca8-ba1c6eae13c3&algo_exp_id=731dd728-4cf9-47e1-bca8-ba1c6eae13c3-1&pdp_ext_f=%7B%22order%22%3A%2255%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.31%210.99%21%21%2110.70%218.06%21%402103917f17528398212661341eeec6%2112000043640492431%21sea%21DE%210%21ABX&curPageLogUid=ZaQNgt5sqMdH&utparam-url=scene%3Asearch%7Cquery_from%3A"
Frame,100,"M5 T-nuts","$3.33","https://www.aliexpress.com/item/32814359094.html?spm=a2g0o.productlist.main.2.3ef7xQk5xQk5lc&algo_pvid=33bddaf6-5151-47f7-8313-3f2d987762c3&algo_exp_id=33bddaf6-5151-47f7-8313-3f2d987762c3-1&pdp_ext_f=%7B%22order%22%3A%223476%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.28%210.99%21%21%211.45%211.12%21%40211b65de17528401873445260e4869%2110000000587253401%21sea%21DE%210%21ABX&curPageLogUid=bU75dFH1Xzh2&utparam-url=scene%3Asearch%7Cquery_from%3A"
Frame,3,"300mm MGN9C Linear Rails","$52.50","https://s.click.aliexpress.com/e/_oEQ4c4O"
Frame,3,"250 2020 extrusion","$12.00","https://www.aliexpress.com/item/1005001811193493.html?aff_fcid=7bf28ad7fc4549ee971624a4f517b92f-1752842911129-02855-_onZYASi&tt=CPS_NORMAL&aff_fsk=_onZYASi&aff_platform=shareComponent-detail&sk=_onZYASi&aff_trace_key=7bf28ad7fc4549ee971624a4f517b92f-1752842911129-02855-_onZYASi&terminal_id=c96db40312814f6fbd65fcebf08e754c&afSmartRedirect=y"
Motion,1,"POWGE GT2 6mm wide Belt 4 meters","$6.50","https://s.click.aliexpress.com/e/_DBPBTXJ"
Motion,3,"POWGE 20T 5mm Bore Pulley","$5.00","https://s.click.aliexpress.com/e/_DB4U4JB"
Motion,3,"POWGE 20T 5mm Bore toothed Idler","$7.00","https://s.click.aliexpress.com/e/_DkEv9Kp"
Motion,1,"F695 Bearing Pack of 10 ( Raindew Recommended )","$8.00","https://s.click.aliexpress.com/e/_DeHjOz3"
Motion,4,"Nema17","$36.00","https://s.click.aliexpress.com/e/_DmCB9SX"
Hardware,40,"M3 x 6mm for Panels","$1.55","https://www.aliexpress.com/item/4000982209705.html?spm=a2g0o.productlist.main.2.6dd03bc0qFLf1E&algo_pvid=a429dc0e-257e-42f5-abdd-dbf1b9e0d4f7&algo_exp_id=a429dc0e-257e-42f5-abdd-dbf1b9e0d4f7-1&pdp_ext_f=%7B%22order%22%3A%222797%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%210.98%210.94%21%21%211.11%211.07%21%4021038e6617528413218547419e6714%2110000013191635027%21sea%21DE%210%21ABX&curPageLogUid=Sh32zzpYCZx7&utparam-url=scene%3Asearch%7Cquery_from%3A"
Hardware,13,"M3 x 8mm for Effector, Idler Slides, Belt Clamps","$7.00","https://www.aliexpress.com/item/1005004949274102.html?spm=a2g0o.productlist.main.31.1e351445YTRaXK&aem_p4p_detail=202507180538133775585752166040001566941&algo_pvid=6d17bc74-93e6-4d5c-9393-0a2a6f44559a&algo_exp_id=6d17bc74-93e6-4d5c-9393-0a2a6f44559a-30&pdp_ext_f=%7B%22order%22%3A%22367%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%213.90%210.99%21%21%214.43%211.13%21%40211b6c1717528422936942930e25ff%2112000031122366724%21sea%21DE%210%21ABX&curPageLogUid=BURbH20DR8kw&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507180538133775585752166040001566941_12"
Hardware,2,"M3 x 12mm for 3010 Fan","$0.00",""
Hardware,3,"M3 x 16mm button head for bed","$0.00",""
Hardware,12,"M3 x 20mm for Effector Arms and 5015 Fan","$0.00",""
Hardware,12,"M3 x 25mm for Motor Mounts","$2.00","https://www.aliexpress.com/item/1005006427459492.html?spm=a2g0o.productlist.main.2.1cea68bfJfhSH9&algo_pvid=8d1fe7c2-d15b-47d3-9705-cb904271e783&algo_exp_id=8d1fe7c2-d15b-47d3-9705-cb904271e783-1&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.99%211.69%21%21%2116.23%2113.78%21%40211b617b17528424800684100e620d%2112000037129615982%21sea%21DE%210%21ABX&curPageLogUid=Us7THzLWfLeE&utparam-url=scene%3Asearch%7Cquery_from%3A"
Hardware,3,"M3 x 30 for Belt Tension","$2.00","https://www.aliexpress.com/item/1005006427396773.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.56b4FQBnFQBnwp&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.439370.0&scm_id=1007.40196.439370.0&scm-url=1007.40196.439370.0&pvid=081860cf-b82c-4fe5-9406-e3be2e3b3583&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.439370.0,pvid:081860cf-b82c-4fe5-9406-e3be2e3b3583,tpp_buckets:668%232846%238116%232002&pdp_ext_f=%7B%22order%22%3A%22446%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21EUR%211.79%210.99%21%21%2114.57%218.01%21%40211b80e117528425978117483e2ce2%2112000037129845934%21rec%21DE%21%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
Hardware,3,"M5 x 16mm Buttonhead for Idlers","$1.60","https://www.aliexpress.com/item/1005006037706986.html?spm=a2g0o.productlist.main.11.77d4VPfcVPfct9&algo_pvid=6ff366e5-9df9-49be-b4fc-619fec8abab2&algo_exp_id=6ff366e5-9df9-49be-b4fc-619fec8abab2-10&pdp_ext_f=%7B%22order%22%3A%221142%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.26%210.99%21%21%2110.31%218.11%21%402103847817528426623945175eb46f%2112000042728519032%21sea%21DE%210%21ABX&curPageLogUid=3lEuX1SXvGaK&utparam-url=scene%3Asearch%7Cquery_from%3A"
Hardware,1,"1000mm 5mm OD x 3mm ID CF Rod ( this gets cut to 105mm )","$7.00","https://s.click.aliexpress.com/e/_DEsPVyx"
Hardware,2,"3mm x 25mm Dowel ( For the arm glue jig )","$4.00","https://s.click.aliexpress.com/e/_DmyoQjl"
Hardware,1,"3mm Threaded Rod ( You will cut into 30mm or so )","","https://s.click.aliexpress.com/e/_DDBNlGF"
Hardware,1,"Recommended 12 - MP Jet Joints you need 2 packs","$26.00","https://mpjet.com/shop/gb/ball-7-mm-dia/1286-375-ball-link-v1-type-7-mm-dia-m33-short.html"
Hardware,6,"6mm x 3mm magnets","","https://s.click.aliexpress.com/e/_DeBMS51"
Hardware,18,"M3 T-nuts for linear rails","$2.20","https://www.aliexpress.com/item/32814359094.html?spm=a2g0o.productlist.main.5.5b6532c0rqQZLT&algo_pvid=166b0c80-6891-49db-841c-16536156c9a1&algo_exp_id=166b0c80-6891-49db-841c-16536156c9a1-4&pdp_ext_f=%7B%22order%22%3A%223477%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.28%210.99%21%21%211.45%211.12%21%40210385bb17528428647233290eafba%2110000000587253401%21sea%21DE%210%21ABX&curPageLogUid=nn7ap0m3S0qM&utparam-url=scene%3Asearch%7Cquery_from%3A"
Hardware,1,"Feet","$3.00","https://s.click.aliexpress.com/e/_DF4uZ7h"
Extruder + Hotend,1,"Dual Gear Extruder ( BMG Clone )","$11.38","https://s.click.aliexpress.com/e/_DdBXX69"
Extruder + Hotend,1,"TL TR6 Hotend","$20.00","https://s.click.aliexpress.com/e/_olBByhH"
BED,1,"120mm 24v heater","$7.00","https://s.click.aliexpress.com/e/_DnM9UsX"
BED,1,"120mm PEI","","https://www.aliexpress.com/item/1005004091564392.html?spm=a2g0o.order_list.order_list_main.31.41f01802SfeGZq"
BED,1,"150mm 4mm thick Bed ( This is what I used ) No PEI I used BuidTak","$20.00","https://s.click.aliexpress.com/e/_DEaazXD"
Electronics,1,"24v 8amp or 10 amp AC Adapter","$36.00","https://s.click.aliexpress.com/e/_De9ZGpv"
Electronics,1,"Optical Endstop","$6.00","https://s.click.aliexpress.com/e/_DF2pjnD"
Electronics,1,"Manta E3EZ with EZ2209 - welcome deal","$51.00","https://s.click.aliexpress.com/e/_oogzWHQ"
Electronics,1,"BTT CB1 Also order Heatsink","$25.55","https://s.click.aliexpress.com/e/_omZf3go"
Electronics,1,"3010 24v ball bearing fan for hotend ( I recommend GDstime )","$8.03","https://s.click.aliexpress.com/e/_Dl82U81"
Electronics,1,"4010 12v Fan for CB1 Cooling 12V 2Ball 6500RPM ( I connect this to the 5v TFT port for a quite running fan)","$7.00","https://s.click.aliexpress.com/e/_o2FCQ4c"
Electronics,1,"5015 24v GDstime Layer Cooling","$12.00","https://s.click.aliexpress.com/e/_DCciStb"
Electronics,1,"TL Nozzle Probe ( Optional )","","https://s.click.aliexpress.com/e/_DkoyDGD"
